race,sex,gpa,lsat,dem,role,prob0,prob1,idx
Black,1,1.91508774883288,6,0.416006790996982,x_interest,0.872,0.128,11
White,2,4.04342548585725,6,0.416006790996982,gen_cf,0.32,0.68,11
White,1,2.90664382087793,8,1.39269494191905,gen_cf,0.42,0.58,11
White,1,3.23321386240857,6,0.416006790996982,gen_cf,0.478,0.522,11
White,1,2.85599191874299,6,-0.490769859246062,gen_cf,0.44,0.56,11
White,1,2.88083042260457,6,0.899746325243087,gen_cf,0.52,0.48,11
White,2,3.23321386240857,6,0.416006790996982,gen_cf,0.41,0.59,11
White,2,2.68171758248753,6,0.416006790996982,gen_cf,0.514,0.486,11
White,1,2.86462967839829,6,0.416006790996982,gen_cf,0.528,0.472,11
White,1,2.53336860368224,5,0.837504210284725,gen_cf,0.184,0.816,11
White,1,2.35662155892494,6,0.843452629015707,gen_cf,0.432,0.568,11
White,1,2.01724556994328,6,1.01845535450196,gen_cf,0.19,0.81,11
White,1,1.91508774883288,6,0.99489289563546,gen_cf,0.284,0.716,11
White,1,1.91508774883288,6,0.899746325243087,gen_cf,0.32,0.68,11
White,1,1.91508774883288,6,0.758869396714785,gen_cf,0.484,0.516,11
White,1,1.91508774883288,6,0.737229767311695,gen_cf,0.492,0.508,11
White,1,1.91508774883288,6,0.644462162812046,gen_cf,0.506,0.494,11
White,1,2.04752361658486,6,0.416006790996982,gen_cf,0.45,0.55,11
White,1,1.92052871007558,6,0.569661711051301,gen_cf,0.578,0.422,11
White,1,2.06691519140117,6,0.416006790996982,gen_cf,0.448,0.552,11
White,1,2.03379389257591,6,0.416006790996982,gen_cf,0.452,0.548,11
White,1,2.02415804116122,6,0.416006790996982,gen_cf,0.452,0.548,11
White,1,2.01724556994328,6,0.416006790996982,gen_cf,0.452,0.548,11
White,1,2.00875440686297,6,0.416006790996982,gen_cf,0.452,0.548,11
White,1,1.99750391282004,6,0.416006790996982,gen_cf,0.452,0.548,11
White,1,1.91508774883288,6,0.547179400167159,gen_cf,0.566,0.434,11
White,1,1.95961965810059,6,0.416006790996982,gen_cf,0.484,0.516,11
White,1,1.91508774883288,6,0.491908261878489,gen_cf,0.552,0.448,11
White,1,1.94063590135713,6,0.416006790996982,gen_cf,0.512,0.488,11
White,1,1.9414958084719,6,0.416006790996982,gen_cf,0.512,0.488,11
White,1,1.91508774883288,6,0.416006790996982,gen_cf,0.514,0.486,11
Amerindian,1,2.30169710359549,6,1.14504733767374,true_cf,0.504,0.496,11
White,1,2.0752150833339,6,0.861601705854935,x_nearest,0.26,0.74,11
Black,1,3.24189417748274,10,-0.511411298583577,x_interest,0.102,0.898,15
White,2,3.78717016785954,9,-1.10475839374248,gen_cf,0.136,0.864,15
White,2,3.90686579310272,7,-0.115690471067669,gen_cf,0.4,0.6,15
White,1,3.55821605505964,9,0.390354889431143,gen_cf,0.414,0.586,15
White,1,3.45216803676245,10,0.645101113109646,gen_cf,0.532,0.468,15
White,1,3.56802331939418,10,0.172759661925548,gen_cf,0.388,0.612,15
White,1,3.18745981932213,10,0.610010809372187,gen_cf,0.604,0.396,15
White,1,3.12465889956487,10,0.195444087996835,gen_cf,0.322,0.678,15
White,1,3.16631834938462,10,-0.0852267713516358,gen_cf,0.516,0.484,15
